"Fecha","Consentimiento"," 1. En relación con el servicio Nequi, selecciona la opción que te describa mejor:","2. En relación con el servicio Daviplata, selecciona la opción que te describa mejor:"," 3. En relación con el servicio Addi, selecciona la opción que te describa mejor:","4. En relación con el servicio Sistecrédito, selecciona la opción que te describa mejor:","5. En general, ¿qué tan seguro(a) te sientes al usar servicios Fintech para manejar tu dinero o tus datos personales?"," 6. ¿Qué tan seguro(a) te sientes al usar billeteras digitales como Nequi o Daviplata?","7. ¿Qué tan seguro(a) te sientes al usar créditos digitales como Addi o Sistecrédito?","8.  ¿Cuáles de los siguientes factores influyen más en tu confianza o desconfianza hacia las plataformas Fintech?","9. ¿Has tenido alguna experiencia negativa al usar billeteras o créditos digitales (errores, fraudes, demoras, mala atención)?","10. En tu opinión, ¿las plataformas Fintech ofrecen una protección de datos personales igual, mejor o peor que la banca tradicional?","11. En general, ¿qué tan probable es que en los próximos 12 meses continúes usando o recomiendes a otras personas las billeteras o créditos digitales?","12. ¿Cómo calificas tu nivel de conocimiento o educación financiera para manejar servicios Fintech?","13. Selecciona tu rango de edad:","14. ¿Qué tanto conocimiento consideras que tienes sobre las plataformas Fintech (Nequi, Daviplata, Addi, Sistecrédito)?","15. Selecciona tu género","16. Ciudad o municipio donde resides actualmente:"
"11/5/2025 14:41:55","Acepto participar de forma voluntaria y anónima.","No lo conozco.","Lo usé antes, pero ya no.","No lo conozco.","No lo conozco.","Poco seguro(a)","Seguro(a).","Poco seguro(a)","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Muy bajo.","55 años o más.","Bajo.","Femenino","La Ceja"
"11/5/2025 15:16:31","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Muy seguro(a).","Muy seguro(a).","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Probable.","Bajo","25–34 años.","Alto.","Femenino","LA CEJA"
"11/5/2025 15:21:38","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Nada seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa.","No.","Mejor que la banca tradicional.","Probable.","Alto.","25–34 años.","Alto.","Femenino","Bello"
"11/5/2025 15:25:39","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo uso actualmente.","Muy seguro(a).","Muy seguro(a).","Muy seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Femenino","Medellín"
"11/5/2025 15:25:41","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","25–34 años.","Muy bajo.","Femenino","La ceja "
"11/5/2025 15:27:14","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Muy seguro(a).","Poco seguro(a)","Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Masculino","Medellín "
"11/5/2025 15:29:24","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","25–34 años.","Bajo.","Femenino","Medellín "
"11/5/2025 15:29:44","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo uso actualmente.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","25–34 años.","Bajo.","Femenino","Apartado Antioquia "
"11/5/2025 15:30:17","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","Igual que la banca tradicional.","Probable.","Bajo","45–54 años.","Bajo.","Femenino","Ríonegro "
"11/5/2025 15:32:12","Acepto participar de forma voluntaria y anónima.","No lo conozco.","No lo conozco.","No lo conozco.","No lo conozco.","Seguro(a).","Poco seguro(a)","Poco seguro(a)","Experiencias previas de fraude o estafa.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Alto.","25–34 años.","Bajo.","Femenino","La ceja "
"11/5/2025 15:32:24","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","No lo conozco.","No lo conozco.","Nada seguro(a).","Poco seguro(a)","Poco seguro(a)","Experiencias previas de fraude o estafa.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Muy bajo.","35–44 años.","Muy bajo.","Masculino","Medellín"
"11/5/2025 15:36:21","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Muy seguro(a).","Poco seguro(a)","Reputación o respaldo de la empresa., Educación financiera o conocimiento del servicio.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Masculino","Medellín "
"11/5/2025 15:42:44","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Muy probable.","Alto.","25–34 años.","Alto.","Femenino","Medellín"
"11/5/2025 15:44:56","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Recomendaciones de familiares o amigos.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Femenino","Apartadó "
"11/5/2025 15:46:54","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Poco seguro(a)","Poco seguro(a)","Seguro(a).","Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Poco probable.","Bajo","35–44 años.","Bajo.","Femenino","Bello "
"11/5/2025 15:50:10","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Recomendaciones de familiares o amigos.","No.","Igual que la banca tradicional.","Muy probable.","Bajo","18–24 años.","Alto.","Femenino","Rionegro "
"11/5/2025 15:54:04","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","No lo conozco.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Nada seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","35–44 años.","Alto.","Masculino","Apartado Antioquía "
"11/5/2025 16:02:11","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","Sí.","No lo sé / No tengo suficiente información.","Probable.","Alto.","18–24 años.","Bajo.","Femenino","Buga - Valle del Cauca "
"11/5/2025 16:04:05","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Probable.","Bajo","35–44 años.","Bajo.","Femenino","La Ceja "
"11/5/2025 16:05:47","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio.","Sí.","Igual que la banca tradicional.","Poco probable.","Alto.","25–34 años.","Alto.","Femenino","Envigado"
"11/5/2025 16:07:26","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","Peor que la banca tradicional.","Poco probable.","Alto.","25–34 años.","Alto.","Masculino","Medellin"
"11/5/2025 16:08:48","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Poco seguro(a)","Poco seguro(a)","Reputación o respaldo de la empresa., Recomendaciones de familiares o amigos.","No.","Igual que la banca tradicional.","Poco probable.","Bajo","18–24 años.","Bajo.","Femenino","Medellín "
"11/5/2025 16:08:57","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Probable.","Alto.","25–34 años.","Bajo.","Masculino","Medellin"
"11/5/2025 16:09:41","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Probable.","Alto.","35–44 años.","Alto.","Masculino","Apartado"
"11/5/2025 16:10:24","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Probable.","Bajo","18–24 años.","Bajo.","Femenino","Apartado "
"11/5/2025 16:10:50","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Seguro(a).","Poco seguro(a)","Seguro(a).","Experiencias previas de fraude o estafa.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Alto.","Femenino","Buga valle "
"11/5/2025 16:13:09","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Muy bajo.","18–24 años.","Alto.","Femenino","Buga valle del Cauca "
"11/5/2025 16:14:17","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Muy seguro(a).","Experiencias previas de fraude o estafa., Facilidad de uso y claridad en la aplicación.","Sí.","Mejor que la banca tradicional.","Probable.","Bajo","25–34 años.","Alto.","Masculino","Guadalajara de Buga "
"11/5/2025 16:17:00","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Poco seguro(a)","Facilidad de uso y claridad en la aplicación.","Sí.","No lo sé / No tengo suficiente información.","Probable.","Alto.","35–44 años.","Alto.","Femenino","Itagui"
"11/5/2025 16:17:53","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa.","Sí.","No lo sé / No tengo suficiente información.","Probable.","Muy bajo.","18–24 años.","Bajo.","Femenino","Guadalajara de Buga "
"11/5/2025 16:18:02","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Poco seguro(a)","Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Probable.","Bajo","18–24 años.","Bajo.","Femenino","Santuario "
"11/5/2025 16:21:46","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Poco seguro(a)","Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Probable.","Bajo","18–24 años.","Bajo.","Femenino","Medellin"
"11/5/2025 16:22:43","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","No.","Mejor que la banca tradicional.","Muy probable.","Muy alto.","25–34 años.","Muy alto","Masculino","Medellín "
"11/5/2025 16:23:26","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Seguro(a).","Poco seguro(a)","Experiencias previas de fraude o estafa.","Sí.","Igual que la banca tradicional.","Probable.","Bajo","25–34 años.","Bajo.","Femenino","La Ceja "
"11/5/2025 16:29:20","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","No lo conozco.","No lo conozco.","Seguro(a).","Nada seguro(a).","Nada seguro(a).","Experiencias previas de fraude o estafa.","No.","Mejor que la banca tradicional.","Nada probable.","Bajo","25–34 años.","Alto.","Masculino","Apartado"
"11/5/2025 16:30:57","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa.","Sí.","No lo sé / No tengo suficiente información.","Probable.","Alto.","18–24 años.","Alto.","Masculino","Apartado "
"11/5/2025 16:32:59","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo uso actualmente.","Lo uso actualmente.","Muy seguro(a).","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio., Recomendaciones de familiares o amigos.","No.","Mejor que la banca tradicional.","Muy probable.","Muy alto.","18–24 años.","Muy alto","Femenino","Buga"
"11/5/2025 16:35:40","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Muy seguro(a).","Seguro(a).","Poco seguro(a)","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","No.","No lo sé / No tengo suficiente información.","Nada probable.","Bajo","18–24 años.","Bajo.","Femenino","España "
"11/5/2025 16:36:41","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Nada seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa., Recomendaciones de familiares o amigos.","No.","Peor que la banca tradicional.","Nada probable.","Bajo","35–44 años.","Bajo.","Femenino","Medellín "
"11/5/2025 16:36:43","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Alto.","18–24 años.","Alto.","Femenino","Chigorodó Antioquia "
"11/5/2025 16:39:35","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","45–54 años.","Bajo.","Femenino","Rionegro "
"11/5/2025 16:39:52","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Muy seguro(a).","Seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Muy probable.","Bajo","18–24 años.","Alto.","Femenino","Apartadó "
"11/5/2025 16:41:07","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","No lo conozco.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Poco seguro(a)","Poco seguro(a)","Experiencias previas de fraude o estafa., Recomendaciones de familiares o amigos.","No.","Peor que la banca tradicional.","Poco probable.","Bajo","25–34 años.","Bajo.","Femenino","Medellín "
"11/5/2025 16:43:00","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Bajo.","Femenino","Chigorodó"
"11/5/2025 16:43:44","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo usé antes, pero ya no.","Poco seguro(a)","Seguro(a).","Poco seguro(a)","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","Sí.","Peor que la banca tradicional.","Poco probable.","Bajo","18–24 años.","Bajo.","Femenino","Ríonegro "
"11/5/2025 16:46:37","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Muy seguro(a).","Muy seguro(a).","Muy seguro(a).","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Probable.","Alto.","25–34 años.","Alto.","Masculino","Medellin"
"11/5/2025 16:47:50","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Seguro(a).","Muy seguro(a).","Seguro(a).","Recomendaciones de familiares o amigos.","No.","Mejor que la banca tradicional.","Probable.","Bajo","18–24 años.","Alto.","Femenino","Apartado antioquia "
"11/5/2025 16:49:26","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Muy seguro(a).","Muy seguro(a).","Seguro(a).","Reputación o respaldo de la empresa.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","35–44 años.","Bajo.","Femenino","Cali"
"11/5/2025 16:55:37","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Muy seguro(a).","Muy seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","35–44 años.","Alto.","Femenino","Bello"
"11/5/2025 16:55:40","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","25–34 años.","Alto.","Masculino","Apartado "
"11/5/2025 16:58:43","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa., Facilidad de uso y claridad en la aplicación.","No.","Igual que la banca tradicional.","Probable.","Bajo","25–34 años.","Bajo.","Femenino","Sabaneta "
"11/5/2025 17:00:10","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Muy seguro(a).","Muy seguro(a).","Muy seguro(a).","Reputación o respaldo de la empresa., Facilidad de uso y claridad en la aplicación.","No.","Mejor que la banca tradicional.","Muy probable.","Muy alto.","25–34 años.","Alto.","Masculino","Bello"
"11/5/2025 17:00:18","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Muy seguro(a).","Muy seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","Mejor que la banca tradicional.","Muy probable.","Alto.","18–24 años.","Alto.","Masculino","Medellin "
"11/5/2025 17:15:15","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo uso actualmente.","Lo uso actualmente.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Muy probable.","Alto.","18–24 años.","Muy alto","Masculino","Guadalajara de Buga"
"11/5/2025 17:16:54","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Muy seguro(a).","Facilidad de uso y claridad en la aplicación., Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Probable.","Alto.","35–44 años.","Alto.","Femenino","Bello"
"11/5/2025 17:26:12","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Poco seguro(a)","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación., Recomendaciones de familiares o amigos.","Sí.","No lo sé / No tengo suficiente información.","Poco probable.","Bajo","55 años o más.","Bajo.","Femenino","Medellín "
"11/5/2025 17:27:31","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Nada seguro(a).","Nada seguro(a).","Experiencias previas de fraude o estafa., Facilidad de uso y claridad en la aplicación.","Sí.","Peor que la banca tradicional.","Probable.","Bajo","35–44 años.","Bajo.","Femenino","Bello"
"11/5/2025 17:27:33","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Poco seguro(a)","Seguro(a).","Poco seguro(a)","Facilidad de uso y claridad en la aplicación.","Sí.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Alto.","Femenino","Bogotá "
"11/5/2025 17:28:45","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa.","Sí.","No lo sé / No tengo suficiente información.","Probable.","Bajo","18–24 años.","Alto.","Femenino","Apartado Antioquia "
"11/5/2025 17:30:14","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Seguro(a).","Seguro(a).","Seguro(a).","Facilidad de uso y claridad en la aplicación.","No.","No lo sé / No tengo suficiente información.","Probable.","Alto.","25–34 años.","Alto.","Femenino","Medellin "
"11/5/2025 17:36:56","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","Muy seguro(a).","Muy seguro(a).","Muy seguro(a).","Reputación o respaldo de la empresa., Educación financiera o conocimiento del servicio.","No.","Igual que la banca tradicional.","Probable.","Alto.","25–34 años.","Alto.","Femenino","La Ceja"
"11/5/2025 17:37:10","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo usé antes, pero ya no.","Lo uso actualmente.","Poco seguro(a)","Poco seguro(a)","Seguro(a).","Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Muy probable.","Bajo","25–34 años.","Bajo.","Femenino","Apartadó"
"11/5/2025 17:38:01","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Poco seguro(a)","Seguro(a).","Poco seguro(a)","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Probable.","Alto.","25–34 años.","Bajo.","Masculino","Bello"
"11/5/2025 17:41:51","Acepto participar de forma voluntaria y anónima.","Lo usé antes, pero ya no.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo usé antes, pero ya no.","Poco seguro(a)","Seguro(a).","Seguro(a).","Experiencias previas de fraude o estafa., Reputación o respaldo de la empresa.","No.","Igual que la banca tradicional.","Probable.","Alto.","25–34 años.","Alto.","Masculino","Rionegro"
"11/5/2025 17:51:59","Acepto participar de forma voluntaria y anónima.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Lo conozco, pero nunca lo he usado.","Seguro(a).","Seguro(a).","Seguro(a).","Educación financiera o conocimiento del servicio., Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Poco probable.","Muy bajo.","18–24 años.","Muy bajo.","Femenino","Rionegro "
"11/5/2025 18:05:12","Acepto participar de forma voluntaria y anónima.","Lo uso actualmente.","Lo conozco, pero nunca lo he usado.","No lo conozco.","No lo conozco.","Nada seguro(a).","Seguro(a).","Nada seguro(a).","Recomendaciones de familiares o amigos.","No.","No lo sé / No tengo suficiente información.","Probable.","Bajo","45–54 años.","Bajo.","Femenino","Bello "
